ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
1,13.1724,-10.6473,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
2,14.0505,-10.1403,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
3,14.9287,-9.63326,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
4,3.51275,-16.2243,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
5,8.78158,-14.1961,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
6,9.65972,-13.6891,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
7,10.5379,-13.1821,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
8,11.416,-12.6751,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
9,12.2942,-12.1681,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
10,13.1723,-11.6611,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
11,14.0505,-11.1541,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
12,14.9286,-10.6471,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
13,15.8068,-10.1401,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
14,7.90343,-14.7031,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
15,7.02528,-15.2101,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
16,6.14713,-15.7171,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
17,5.26898,-16.2241,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
18,4.39083,-16.7311,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
19,3.51268,-17.2381,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
20,8.7815,-15.21,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
21,9.65965,-14.703,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
22,10.5378,-14.196,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
23,11.4159,-13.689,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
24,12.2941,-13.182,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
25,13.1722,-12.675,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
26,14.0504,-12.168,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
27,14.9285,-11.661,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
28,15.8067,-11.154,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
29,16.6848,-10.647,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
30,7.90335,-15.717,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
31,7.0252,-16.224,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
32,6.14705,-16.731,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
